"Endpoint Name","Endpoint FQDN","IP","Update Status","Last Update","Antimalware","Managed","Online"
":Dragneel-9c3e53816484","num-028.local","192.168.0.196","Updated","02 June 2026, 11:02:36","On","Yes","Online"
"ADFS-90b11c03b5fa","adfs.netcore.co.in","192.168.2.7","Updated","02 June 2026, 10:13:28","On","Yes","Online"
"ADFS1","adfs1.netcore.co.in","192.168.2.11","Unmanaged","N/A","Unmanaged","No","Unmanaged"
"Aaron’s MacBook Air-147fceab5a23","aarons-macbook-air.local","10.8.20.29","Updated","02 June 2026, 11:35:29","Unknown","Yes","02 June 2026, 12:57:29"
"Adwait’s MacBook Pro-c889f3b11b6f","num-015.local","192.168.1.14","Unknown","17 April 2026, 18:08:47","Unknown","Yes","17 April 2026, 19:59:35"
"Akshay’s MacBook Air-74a6cdc044ee","num-012.local","10.10.30.162","Updated","02 June 2026, 11:05:40","On","Yes","Online"
"Ananthesh’s MacBook Pro-3c063050e870","num-001.local","192.168.1.105","Updated","02 June 2026, 12:08:26","On","Yes","Online"
"BhanuReddy MackBook Pro-9c3e53963300","num-050.local","192.168.29.152","Updated","02 June 2026, 11:03:45","Unknown","Yes","02 June 2026, 12:52:29"
"Bhavadeesh's MacBook Pro-ac07753bd4b0","bhavadeeshs-macbook-pro.local","192.168.100.21","Updated","02 June 2026, 01:05:28","On","Yes","Online"
"Bhuvan’s MacBook Air-d0880c6bd60f","num-057.local","192.168.0.8","Updated","02 June 2026, 12:11:44","On","Yes","Online"
"DESKTOP-02EA66R-78af0880b425","desktop-02ea66r","192.168.112.139","Unknown","24 February 2026, 10:23:51","Unknown","Yes","24 February 2026, 15:06:49"
"DESKTOP-0S3NG08-a0b339b44f1a","desktop-0s3ng08","172.16.20.134","Updated","02 June 2026, 10:17:17","On","Yes","Online"
"DESKTOP-2H7AK1C","desktop-2h7ak1c","192.168.2.6","Unmanaged","N/A","Unmanaged","No","Unmanaged"
"DESKTOP-EQ0GEH7","desktop-eq0geh7","10.36.118.137","Unknown","27 January 2026, 03:24:59","Unknown","Yes","27 January 2026, 21:00:58"
"DESKTOP-ILC9N7U-9cb1506fee51","desktop-ilc9n7u","10.10.30.224","Updated","02 June 2026, 12:45:49","On","Yes","Online"
"DESKTOP-K7NH7DM","desktop-k7nh7dm","172.16.20.111","Unknown","27 January 2026, 12:26:20","Unknown","Yes","27 January 2026, 13:26:50"
"DESKTOP-O2QASIT","desktop-o2qasit","192.168.113.67","Unknown","26 December 2025, 12:41:26","Unknown","Yes","11 February 2026, 15:53:20"
"DESKTOP-QH221S5","desktop-qh221s5","10.10.30.25","Unknown","27 January 2026, 11:55:54","Unknown","Yes","27 January 2026, 13:30:50"
"DESKTOP-SM4O0KK-687a6416fa1c","desktop-sm4o0kk","172.16.20.53","Updated","02 June 2026, 10:21:29","On","Yes","Online"
"DESKTOP-U2DDDV8","desktop-u2dddv8","172.16.20.146","Unknown","27 January 2026, 11:38:11","Unknown","Yes","27 January 2026, 13:28:50"
"Dhruv S-9c3e537d38aa","num-082.local","10.10.30.186","Unknown","25 March 2026, 12:09:40","Unknown","Yes","25 March 2026, 13:14:17"
"Erin’s MacBook Air-f873df070a39","erins-macbook-air.local","192.168.1.15","Unknown","11 May 2026, 16:40:59","Unknown","Yes","14 May 2026, 03:39:11"
"Goran’s MacBook Pro-a4cf994df0f8","gorans-macbook-pro.local","10.0.0.194","Updated","02 June 2026, 06:44:27","On","Yes","Online"
"Justin’s MacBook Air-5c1bf4e8642f","num-037.local","192.168.1.44","Updated","02 June 2026, 11:33:27","On","Yes","Online"
"KALPITJAIN-4c82a9790fc1","kalpitjain","192.168.29.46","Updated","02 June 2026, 10:28:56","On","Yes","Online"
